Model Name,ID,Model Used
Basic,0,Basic
BasicVm,1,Basic
BasicTh,2,BasicTh
BasicSs,4,Basic
BasicDd,8,BasicDd
BasicHy,10,BasicHy
BasicThHy,12,BasicThHy
BasicSsHy,14,BasicHy
BasicDdHy,18,BasicDdHy
BasicHyFi,30,BasicHy
BasicCh,40,BasicCh
BasicSt,100,BasicSt
BasicThSt,102,BasicThSt
BasicSsSt,104,BasicSt
BasicDdSt,108,BasicDdSt
BasicHySt,110,BasicHySt
BasicVs,200,BasicVs
BasicThVs,202,BasicThVs
BasicSsVs,204,BasicVs
BasicDdVs,208,BasicDdVs
BasicHyVs,210,BasicHyVs
BasicStVs,300,BasicStVs
BasicSa,400,BasicSa
BasicHySa,410,BasicHySa
BasicChSa,440,BasicChSa
BasicVsSa,600,BasicVsSa
BasicRt,800,BasicRt
BasicRtTh,802,BasicRtTh
BasicSsRt,804,BasicRt
BasicDdRt,808,BasicDdRt
BasicHyRt,810,BasicHyRt
BasicChRt,840,BasicChRt
BasicSsDd,00C,BasicDd
BasicVsRt,A00,BasicVsRt
BasicSaRt,C00,BasicSaRt
BasicCv,CCC,BasicCv
BasicChRtTh,842,BasicChRtTh
